id,gene_symbol
15212,Hoxd8
15213,Hoxd9
15235,Hr
15240,Hrh1
63466,Hrh3
15258,Hsd11b1
15274,Hsf1
56658,Hspb8
15285,Hspd1
15325,Htr1a
15326,Htr1b
15327,Htr1d
15332,Htr1f
15333,Htr2a
15334,Htr2b
15335,Htr2c
15336,Htr3a
36293,Htr3b
15337,Htr4
15338,Htr5a
15339,Htr5b
15340,Htr6
15341,Htr7
15669,Icam2
15671,Icam5
15674,Id1
15675,Id2
15676,Id3
15677,Id4
15732,Ifit3
15773,Igf1
15774,Igf1r
15775,Igf2
15779,Igfbp1
15781,Igfbp2
15782,Igfbp3
15783,Igfbp4
15784,Igfbp5
15785,Igfbp6
29552,Igfbp7
86416,Igfn1
47899,Igsf5
22535,Ikzf1
42986,Ikzf5
15937,Il13ra1
15943,Il16
15950,Il1r1
15968,Il6st
16095,Inha
16096,Inhba
16097,Inhbb
16098,Inhbc
16099,Inhbe
16102,Inpp1
87845,Inpp4b
23672,Insl5
27101,Insl6
32944,Insm1
16110,Insr
23673,Insrr
16121,Invs
16135,Irf1
16136,Irf2
16143,Irs4
16144,Irx1
16145,Irx2
16146,Irx3
30400,Irx4
33643,Irx5
40980,Irx6
16165,Isl1
68525,Isl2
42150,Isoc1
47438,Isx
16173,Itga3
16174,Itga4
16182,Itgam
16183,Itgav
16185,Itgb1
16189,Itgb3
107845,Itgb8
85894,Itgbl1
16199,Itih3
16202,Itln1
143285,Itlnb
16211,Itpr1
16216,Itsn1
16222,Jag1
16223,Jag2
58180,Jam3
87350,Jazf1
57385,Jdp2
72988,Jmjd1c
16242,Jrk
16249,Jun
16251,Jund
85129,Kat7
16258,Kcna1
16263,Kcna2
16270,Kcnab1
16272,Kcnab3
62911,Kcnb2
92471,Kcnc2
16277,Kcnc3
16281,Kcnd2
42576,Kcng4
82041,Kcnh7
56676,Kcnip2
16288,Kcnj12
16295,Kcnj6
16299,Kcnk2
37365,Kcnmb4
79905,Kcnn2
75016,Kcnq3
88550,Kctd12
69605,Kctd9
51446,Kdm5b
16315,Kdr
16347,Kif5c
16363,Kit
17080,Kitl
42120,Klf15
16371,Klf2
16373,Klf4
12009,Klf5
23602,Klf6
60343,Klf7
83975,Klhl29
87181,Kmt2c
120035,Kmt2d
58251,Kremen1
48857,Kremen2
16500,L1cam
88886,L3mbtl1
16544,Lama1
16546,Lama3
16549,Lamb1
16552,Lamb3
52002,Lamp5
76980,Laptm4b
16566,Large
89294,Layn
53729,Lbh
16585,Lbx1
16586,Lbx2
84411,Lcor
16596,Ldb1
16597,Ldb2
16613,Lef1
13368,Lefty1
107137,Lefty2
16618,Lepr
44456,Letmd1
16619,Lfng
16623,Lgals1
89814,Lgi2
84562,Lgi3
18904,Lgmn
16640,Lhx1
16641,Lhx2
16642,Lhx3
16643,Lhx4
16644,Lhx5
16645,Lhx6
16646,Lhx8
16647,Lhx9
16651,Lifr
16656,Limk1
74984,Lims1
88047,Lman1l
29927,Lmcd1
73752,Lmo1
16679,Lmo2
73751,Lmo3
16681,Lmo4
87332,Lmtk2
120482,Lmtk3
74804,Lmx1a
16687,Lmx1b
129337,LOC432748
129813,LOC433228
130020,LOC433436
142666,LOC545810
143363,LOC546316
16719,Loxl1
60979,Loxl2
16726,Lpl
16740,Lrmp
16741,Lrp1
16743,Lrp5
16744,Lrp6
16745,Lrp8
82847,Lrrc4
42568,Lrrk2
16751,Lrrn3
50183,Lrrtm1
33428,Lsr
16775,Ltk
16805,Lxn
23686,Ly6h
16865,Lyl1
48426,Lypd1
16875,Lyz2
42706,Lztr1
84266,Lzts1
62728,Mael
16902,Maf
44719,Maf1
119719,Mafa
16430,Mafb
16904,Mafg
16905,Mafk
60907,Maged1
67973,Maml1
16930,Maoa
73888,Maob
17523,Map2
26157,Map3k7
26162,Mapk10
26167,Mapk8
29947,Mapk8ip3
26168,Mapk9
17529,Mapt
17125,Marcksl1
16956,Max
16957,Maz
16965,Mbp
16970,Mc3r
16971,Mc4r
141246,mCG146432
83907,Mchr1
50603,Mdga1
17216,Mdh2
37587,Med12
45633,Med6
17027,Mef2a
17028,Mef2b
17029,Mef2c
17030,Mef2d
17037,Meis1
17303,Meis2
17304,Meis3
17054,Meox1
17055,Meox2
17058,Mertk
43786,Mesdc2
17061,Mesp1
17062,Mesp2
17063,Mest
17064,Met
52134,Mfap4
17073,Mfge8
29543,Mga
92513,Mgat5b
42290,Mgst3
86214,Mib1
52421,Mib2
17087,Mid1
17111,Mitf
26962,Mixl1
84230,Mkx
21189,Mlx
83930,Mlxip
37368,Mlxipl
17163,Mmp9
17196,Mnt
15060,Mnx1
17201,Mobp
17209,Mog
17244,Mpeg1
85966,Mpped1
17448,Msc
35467,Msgn1
15011,Mst1
19645,Mst1r
17467,Mstn
17468,Msx1
17469,Msx2
17470,Msx3
78178,Mta1
23693,Mta2
78179,Mta3
50079,Mterf2
17531,Mtf1
17532,Mtf2
35996,Mtor
17965,Musk
16889,Mxd1
16891,Mxd3
16892,Mxd4
17626,Mxi1
17630,Myb
18199,Mybbp1a
17631,Mybl1
17632,Mybl2
73431,Mybpc1
17636,Myc
69854,Mycbp2
16688,Mycl
17876,Mycn
17637,Mycs
17644,Myf5
17645,Myf6
53419,Myh10
17653,Myh9
71754,Mylk
17693,Myoc
17694,Myod1
17695,Myog
17699,Myt1
17700,Myt1l
17703,Nab1
47791,Nanog
17734,Ncam1
17735,Ncam2
17741,Nck2
30368,Nckap1
17744,Ncoa1
17745,Ncoa2
17746,Ncoa3
35686,Ncoa6
19948,Ncor1
20364,Ncor2
37711,Ncstn
43046,Nde1
57675,Ndel1
44012,Ndnf
41177,Ndst4
78444,Necab2
119884,Nefh
37685,Nek7
17774,Neo1
17775,Nes
17779,Neurod1
17780,Neurod2
11709,Neurod4
11708,Neurod6
17781,Neurog1
11710,Neurog2
11711,Neurog3
17782,Nf1
92672,Nfasc
33737,Nfat5
17785,Nfatc1
17786,Nfatc2
17788,Nfatc3
49022,Nfatc4
17789,Nfe2
17790,Nfe2l1
17791,Nfe2l2
17792,Nfe2l3
17794,Nfia
17795,Nfib
17796,Nfic
17797,Nfil3
17799,Nfix
17800,Nfkb1
17802,Nfkbia
17804,Nfkbie
65148,Nfxl1
17811,Nfya
17812,Nfyb
17813,Nfyc
33266,Ngef
17816,Ngf
17820,Ngfr
17838,Nhlh1
17839,Nhlh2
60608,Nkd1
48134,Nkd2
159922,Nkx1-1
19994,Nkx1-2
21628,Nkx2-1
17855,Nkx2-2
17856,Nkx2-3
86764,Nkx2-4
17859,Nkx2-6
17861,Nkx2-9
17862,Nkx3-1
11806,Nkx3-2
17863,Nkx6-1
14688,Nkx6-2
50402,Nkx6-3
85106,Nle1
17866,Nlk
43882,Nmb
17868,Nmbr
43667,Nmral1
17878,Nnat
18058,Nobox
17886,Nodal
17888,Nog
17892,Nos1
46570,Nos1ap
17894,Nos3
17895,Notch1
17896,Notch2
17898,Notch3
17899,Notch4
17900,Nov
17909,Npas1
17910,Npas2
27131,Npas3
86310,Npas4
33906,Npff
68608,Npffr2
106174,Npsr1
37991,Npvf
73806,Npy
17933,Npy1r
17934,Npy2r
17935,Npy5r
11401,Nr0b1
23708,Nr0b2
85138,Nr1d1
110666,Nr1d2
22017,Nr1h2
22016,Nr1h3
19949,Nr1h4
120237,Nr1h5
17938,Nr1i2
12140,Nr1i3
21782,Nr2c1
21783,Nr2c2
21664,Nr2e1
23709,Nr2e3
13643,Nr2f1
11606,Nr2f2
13642,Nr2f6
14591,Nr3c1
74939,Nr3c2
15145,Nr4a1
17994,Nr4a2
17891,Nr4a3
26171,Nr5a1
26172,Nr5a2
14312,Nr6a1
106439,Nrcam
84285,Nrg1
120090,Nrg2
17950,Nrg3
58177,Nrg4
40644,Nrgn
92612,Nrip1
37806,Nrip2
54433,Nrip3
17952,Nrl
44246,Nrn1
17953,Nrp1
17954,Nrp2
17955,Nrtn
17956,Nrxn1
17960,Nsd1
17972,Ntf3
54245,Ntf5
87964,Ntm
17975,Ntn1
17976,Ntn3
37036,Ntn4
56653,Ntng1
82364,Ntng2
17978,Ntrk1
17979,Ntrk2
17980,Ntrk3
43248,Nts
17983,Ntsr1
17984,Ntsr2
32802,Nucb2
17989,Numb
17990,Numbl
68246,Nxph4
47309,Obox1
89950,Obox3
183340,Obox4
89954,Obox5
89955,Obox6
30398,Olig1
30397,Olig2
60856,Olig3
15154,Onecut1
86270,Onecut2
89612,Onecut3
18153,Oprd1
18154,Oprk1
18157,Oprm1
20172,Ostf1
58004,Otof
18187,Otp
18190,Otx1
18191,Otx2
18196,Oxt
18197,Oxtr
18205,P2rx4
18206,P2rx7
18238,Pafah1b1
18244,Pah
18245,Pak1
23603,Pappa2
60394,Pard3
30357,Park2
87243,Parm1
82039,Parvb
35501,Patz1
77498,Pawr
18269,Pax1
18270,Pax2
18271,Pax3
18272,Pax4
18273,Pax5
18274,Pax6
18275,Pax7
18276,Pax8
18277,Pax9
42766,Pbrm1
18280,Pbx1
18281,Pbx2
18282,Pbx3
56494,Pbx4
86886,Pbxip1
12960,Pcbd1
51440,Pcdh1
18292,Pcdh10
89410,Pcdh11x
32919,Pcdh12
49014,Pcdh18
93556,Pcdh19
85500,Pcdh20
12722,Pcdha7
60534,Pcdhb14
60524,Pcdhb4
60529,Pcdhb9
60376,Pcdhga12
46882,Pcgf6
26621,Pclo
18307,Pcnt
18311,Pcp2
18312,Pcp4
18315,Pcsk2
23735,Pde10a
88851,Pde11a
18339,Pde1a
18341,Pde1c
88926,Pde5a
18356,Pdgfa
18357,Pdgfb
33926,Pdgfc
47626,Pdgfd
18361,Pdgfra
18362,Pdgfrb
33425,Pdlim1
14502,Pdpn
18375,Pdx1
18376,Pdyn
43913,Pdzd2
81989,Peg10
27157,Peg12
18385,Penk
18392,Per1
18393,Per2
40691,Perp
37432,Pex5l
18433,Pgr
46645,Pgrmc2
11820,Phb2
87154,Phf13
49857,Phf19
11646,Phox2a
18698,Phox2b
18450,Phtf1
44612,Phtf2
50610,Pik3cb
18473,Pik3r1
18504,Pitx1
18505,Pitx2
18506,Pitx3
18527,Pkd1
18535,Pknox1
83924,Pknox2
43294,Pkp2
22391,Plagl1
18562,Plcb4
18563,Plcd1
18567,Plcg1
92752,Plch1
129609,Plcxd2
84601,Plekhg1
18587,Plp1
18608,Plxna1
18609,Plxna2
18610,Plxna3
89119,Plxna4
88096,Plxnb1
79944,Plxnb2
34001,Plxnc1
43627,Plxnd1
74469,Pmch
18617,Pml
86518,Pms1
18712,Pnn
17922,Pnoc
79897,Pofut1
42822,Pole4
19781,Polr1d
87230,Polr2b
89478,Polr2h
27759,Polr2m
42848,Polr3k
18739,Pomc
44115,Pomgnt1
32945,Porcn
30195,Postn
18500,Pou1f1
18748,Pou2af1
18749,Pou2f1
18750,Pou2f2
18751,Pou2f3
18754,Pou3f1
18755,Pou3f2
18756,Pou3f3
18757,Pou3f4
18759,Pou4f1
18760,Pou4f2
18761,Pou4f3
18762,Pou5f1
51348,Pou5f2
18772,Pou6f1
85303,Pou6f2
18776,Ppara
18778,Ppard
18779,Pparg
18780,Ppargc1a
43376,Ppfibp1
18812,Ppp1r1b
18818,Ppp3ca
18822,Ppp3r2
120183,Prdm12
46620,Prdm5
61045,Prg4
18511,Prkaca
18515,Prkcb
18517,Prkcd
18879,Prlr
18885,Prnp
18888,Prodh
18889,Prom1
18890,Prop1
18891,Pros1
18893,Prox1
49263,Prox2
18895,Prph
18696,Prrx1
